"TALLIKERI VILLAGE, TALLIKERI VILLAGE",9,2023
"SBI BANK Branch Badami, SBI BANK Branch Badami",5,2016
"Karnataka Bank, Karnataka Bank",8,2017
"Near SRA Club, Near SRA Club",9,2018
"23 D ROAD VIDYAGIRI BAGALKOT, 23 D ROAD VIDYAGIRI BAGALKOT",11,2018
"Navanagar Near District Stadium, Navanagar Near District Stadium",12,2018
"CHIMMAD VILLAGE, CHIMMAD VILLAGE",5,2019
"Gudur S.C Village, Gudur S.C Village",11,2019
"IN THE BASAVESHWAR ENGINEERING COLLAGE, IN THE BASAVESHWAR ENGINEERING COLLAGE",5,2020
"SHRI BASAVESHWAR SAHAKARI BANK NIYAMIT, SHRI BASAVESHWAR SAHAKARI BANK NIYAMIT",5,2020
"NAVANAGAR BAGALKOT, NAVANAGAR BAGALKOT",1,2021
"Mahalingpur, Mahalingpur",1,2021
"Bisaladinni, Bisaladinni",1,2021
"Gaddanakeri Cross, Gaddanakeri Cross",1,2021
"Beloor Village Near Manjunath Steel Shop, Beloor Village Near Manjunath Steel Shop",2,2021
"BAGALKOT TOWN, BAGALKOT TOWN",4,2021
"Online Bank, Online Bank",7,2021
"22CROSS POSTAL COLONY VIDYAGIRI, 22CROSS POSTAL COLONY VIDYAGIRI",7,2021
"GUDUR, GUDUR",8,2021
"Hosur, Hosur",9,2021
"Flot No:25-C, Sector No: 03,, Flot No:25-C, Sector No: 03,",9,2021
"Chikkamyageri, Chikkamyageri",10,2021
"Online Bank, Online Bank",10,2021
"Online Bank, Online Bank",10,2021
"online, online",10,2021
"HUNNUR VILLAGE, HUNNUR VILLAGE",11,2021
"OLD BAGALKOT TOWN, OLD BAGALKOT TOWN",11,2021
"NEELANAGAR LT VILLAGE, NEELANAGAR LT VILLAGE",11,2021
"NADI BULDING  BAGAWAN MAHAVEER ROAD, NADI BULDING  BAGAWAN MAHAVEER ROAD",1,2022
"BAGALKOT, BAGALKOT",2,2022
"NAVANAGAR, NAVANAGAR",3,2022
"Guledagudda, Guledagudda",3,2022
"Online, Online",3,2022
"Online, Online",4,2022
"HEGGUR VILLAGE, HEGGUR VILLAGE",5,2022
"NAVANAGAR, NAVANAGAR",7,2022
"GUDUR VILLAGE, GUDUR VILLAGE",7,2022
"ONLINE, ONLINE",7,2022
"REVENUE QUARTERS NAVANAGAR, REVENUE QUARTERS NAVANAGAR",8,2022
"online, online",8,2022
"BHAGAVATI VILLAGE, BHAGAVATI VILLAGE",9,2022
"MAHALINGAPUR, MAHALINGAPUR",9,2022
"NAVANAGAR BAGALKOTE, NAVANAGAR BAGALKOTE",10,2022
"HUNGUND, HUNGUND",10,2022
"VIDYAGIRI, VIDYAGIRI",11,2022
"JAMAKHANDI TOWN, JAMAKHANDI TOWN",11,2022
"VAJJARAMATTI VILLAGE, VAJJARAMATTI VILLAGE",11,2022
"ONLINE (MUDHOL), ONLINE (MUDHOL)",12,2022
"HSK Hostel  Room No 73 Navanagar, HSK Hostel  Room No 73 Navanagar",12,2022
"MUDHOL (ONLINE), MUDHOL (ONLINE)",1,2023
"RABAKAVI CITY IN VIDHYANAGAR, RABAKAVI CITY IN VIDHYANAGAR",1,2023
"valmiki bhavan, valmiki bhavan",1,2023
"Online Bank, Online Bank",2,2023
"BHEEMANAGADA(0NLINE BANK), BHEEMANAGADA(0NLINE BANK)",2,2023
"MAHALINGAPUR(ONLINE), MAHALINGAPUR(ONLINE)",2,2023
"OLD KORTI VILLAGE (ONLINE), OLD KORTI VILLAGE (ONLINE)",3,2023
"WN 10 BAGALKOT(ONLINE), WN 10 BAGALKOT(ONLINE)",3,2023
"HALINGALI VILLAGE, HALINGALI VILLAGE",3,2023
"SHIROL VILLAGE, SHIROL VILLAGE",3,2023
"KERUR VILLAGE, KERUR VILLAGE",3,2023
"MUDHOL, MUDHOL",3,2023
"KERUR VILLAGE, KERUR VILLAGE",3,2023
"NAGALAMBIKA HOSTEL BAGALKOT(ONLINE), NAGALAMBIKA HOSTEL BAGALKOT(ONLINE)",4,2023
"ILKAL TOWN (ONLINE), ILKAL TOWN (ONLINE)",4,2023
"BADAMI TOWN IN COMPLAINANT HOUSE, BADAMI TOWN IN COMPLAINANT HOUSE",4,2023
"MUDHOL KHB Colony  (ONLINE), MUDHOL KHB Colony  (ONLINE)",4,2023
"OLD BGALKOT (ONLINE), OLD BGALKOT (ONLINE)",4,2023
"BAGALKOT, BAGALKOT",5,2023
"BAGALKOT(online), BAGALKOT(online)",6,2023
"17th cross vidyagiri Bagalkot, 17th cross vidyagiri Bagalkot",6,2023
"JAMAKHANDI TOWN, JAMAKHANDI TOWN",7,2023
"JAMAKHANDI TOWN, JAMAKHANDI TOWN",7,2023
"BADAGI VILLAGE, BADAGI VILLAGE",7,2023
"NAVANAGAR SECTOR NO-21, NAVANAGAR SECTOR NO-21",7,2023
"BAGALAKOTE, BAGALAKOTE",7,2023
"ILKAL TOWN (ONLINE), ILKAL TOWN (ONLINE)",7,2023
"Online Aihole, Online Aihole",8,2023
"online (Bagalkot), online (Bagalkot)",9,2023
"SHURPALI VILLAGE, SHURPALI VILLAGE",10,2023
"RAMARUDAMATH, RAMARUDAMATH",10,2023
"MAHALINGAPUR VILLAGE, MAHALINGAPUR VILLAGE",10,2023
"BAIRAMATTI VILLAGE, BAIRAMATTI VILLAGE",11,2023
"BEVINAMMATTI VILLAGE, BEVINAMMATTI VILLAGE",11,2023
"Complainant House, Complainant House",11,2023
"YALLATTI VILLAGE, YALLATTI VILLAGE",12,2023
"KALINA MARKET HUKKERI GALLI, KALINA MARKET HUKKERI GALLI",12,2023
"ONLINE (ASANGI), ONLINE (ASANGI)",12,2023
"WARD NO-3 BAGALKOT, WARD NO-3 BAGALKOT",12,2023
"SUNAG VILLAGE (ONLINE), SUNAG VILLAGE (ONLINE)",12,2023
"BAGALKOT (ONLINE), BAGALKOT (ONLINE)",1,2024
"METTAGUDD VILLAGE(ONLINE), METTAGUDD VILLAGE(ONLINE)",1,2024
"VIANAYAK NAGAR (ONLINE), VIANAYAK NAGAR (ONLINE)",3,2024
"BAIRAMATTI VILLAGE, BAIRAMATTI VILLAGE",10,2017
"Bhagavathi Village, Bhagavathi Village",7,2023
"Near Congress Office Bagalkot, Near Congress Office Bagalkot",2,2018
"Bagalkot Town, Bagalkot Town",1,2019
"At Complaint Shop Melligeri Layout, At Complaint Shop Melligeri Layout",8,2023
"Irappa Gurapa Thambaku Land, Kulahalli Village, Irappa Gurapa Thambaku Land, Kulahalli Village",5,2020
"COMPLAINENT HOUSE AT JAGADAL, COMPLAINENT HOUSE AT JAGADAL",9,2023
"BILAGI DCC BANK ATM, BILAGI DCC BANK ATM",1,2019
"SYNDICATE BANK BRANCH GULEDAGUDD, SYNDICATE BANK BRANCH GULEDAGUDD",5,2016
"Guledagudd Congress Party Office, Guledagudd Congress Party Office",2,2017
"ILKAL TOWN R VEERMANI STADIUM, ILKAL TOWN R VEERMANI STADIUM",10,2017
"ILKAL TOWN, ILKAL TOWN",8,2023
"City Area, City Area",4,2018
"Jamkhandi Patrika Bhavan, Jamkhandi Patrika Bhavan",1,2023
"Jamkhandi  Town, Jamkhandi  Town",9,2023
"In Complainant's House, Shivaji Circle, In Complainant's House, Shivaji Circle",11,2023
"Veerapur Rc Village, Veerapur Rc Village",8,2017
"Online Fraud, Online Fraud",12,2023
"KERUR TOWN NEAR SYNDICATE BANK, KERUR TOWN NEAR SYNDICATE BANK",3,2016
"Kadarakoppa Viilage, Kadarakoppa Viilage",10,2023
